id,job_title,description,salary,requirements,benefits,location,business_name
775,English and Other Language Teachers Required,"We have the license from the Chinese government to invite foreign teachers to work here. We can offer working visa and foreign teachers expert certificates. Now we are recruiting English teachers, Italian teachers, French teachers, German teachers, Russian teachers, Japanese teachers and Spanish teachers and Korean teachers. We also offer to exchange programs for foreign university students and adults. We welcome foreign university students and adults to be here to learn Chinese and teaching English. Besides we offer opportunities for university students for internship. If you are interested in our school, please contact us, thank you for your attention!",20000 RMB,"","",China > Shiyan City,Shiyan Golden Future Foreign Language Training School
776,ESL Teacher in Poland,"You'll work alongside a local teaching assistant to plan and lead English lessons designed for small groups of students of varying ages. You'll work within a private institution and follow their curriculum or requirements, but you will have the chance to use your creativity to come up with engaging activities to help your students absorb the language.-
Our placements in Poland stretch from young learners through to business professionals looking to improve their English. You will have the opportunity to express your preferences during the application process when we will advise you on the different positions available.-
Duties vary from school to school:-
•At kindergartens you can expect a 40-hour contract, while hours are lower but salaries higher if you teach at language school, or business English.-
• Working hours are school hours for kindergartens, and mostly 14:00-20:0 at language schools or for business English roles.-
• Assisting with English language-related activities-
• Teaching students of various ages and levels-
• Teaching 4-10 students at a time at kindergartens and language schools, 1-1 or 1-2 for business English",at least 3000 PLN per month,"","",Poland > Poland,Impact Teaching
777,"Teach English in Primary School in Sanshui, Foshan, Up to 16000RMB with","Salary: 16000 CNY(RMB) /Month-
Housing: Provided-
Contract type: Full time-
Work visa provided: Yes-
Teaching Students age: Primary school-
Work Location: Sanshui, Foshan-
Positions available: 1-
- Teaching experience-
- Degree in any field-
- British, American, Canadian, Australian, New Zealand, Irish or South African Passport holders",16000RMB - 16000RMB /month,"","",China > Foshan,Find Work Abroad
785,ESL Positions,"Teach English Global is currently seeking English teachers to help fill a variety of exciting positions in Kindergartens, Public Schools, and Training Centres throughout different cities in China!-
-
We're accepting applications from:-
-
- Teachers who are currently inside China and looking for a new opportunity over the coming months-
- Teachers who are outside China and are hoping to enter the country and start teaching around August / September-
-
When you apply a member of our team will contact you to arrange a call, and after you explain to us exactly what type of teaching position you're looking for, you'll be presented with relevant opportunities that match your preferences.","20,000 - 35,000 RMB","","",China > Various,Teach English Global
778,"Teach English in Sichuan (max 4,200 USD incl. housing)","Teach English in one of several cities in Sichuan. There are branches in 26 locations in the province of Sichuan.-
-
- Students are 3-12 years old.-
- 20 teaching hours - 20 office hours/week.-
- Prepare lessons and materials in advance for all classes.-
- Give lessons to the highest standards of English language teaching.-
- Continually strive for self-development and attend regular developmental meetings.-
- Maintain student and class records.-
- Be responsible for students’ welfare and progress.-
- Administer and record the results of progress reports, tests and assessments for students.-
- Student recruitment, responsible for the DEMO class and assist relevant student recruitment activities.-
- Assist in the placement testing and interviewing of new students.-
- Carry out teaching related responsibilities including but not limited to demonstration classes, monthly activities, monthly show, tutorials, seminars, presentations, and attend kindergarten events and other activities.-
- Substitute for absent colleagues, possibly on short notice or off-site.-
-
Salary and Benefits-
-
- Monthly salary: 16,000 – 25,000 RMB.-
- Housing allowance: 1,500 – 2,000 RMB.-
- Health benefits: commercial insurance.-
- Summer and winter break.-
- No weekends.-
- Up to 10,000 RMB/year flight reimbursement.-
- One month paid training.-
- 5,000 RMB end of contract bonus.-
-
Job Requirements-
-
- You have a passport from the UK, Ireland, South Africa, Canada, US, New Zealand or Australia.-
- You have a bachelor degree.-
- You have a teaching certificate (TEFL/TESOL/CELTA).-
-
Why Teachers Love to Teach English in Sichuan-
-
Sichuan is most well-known for friendly people, spicy hot pot, and pandas.-
-
Spring and fall are the best seasons to see the natural beauty of Sichuan. There are many interesting natural landscapes like the UNESCO World Heritage site Jiuzhaigou National Park. This dream-like place hosts 108 lakes and 3 groups of waterfalls, along with endangered plants and animals.-
-
The capital city Chengdu is one of the most liveable mega-cities in China. Unlike Shanghai and Beijing, the experience is more authentic Chinese. Don’t miss Jinli Ancient street, dating back to 221 BC, and the Wuhou shrine.-
-
Teach English in Sichuan and discover a province of friendly people and beautiful nature!","Up to 27,000 RMB","","",China > Chengdu,Saxoncourt
779,Young Learners EFL Teacher.,"We are looking for an imaginative teacher of English to join our team at a well-established language academy.-
The ideal candidate will have experience teaching Young Learners (from age 4) English with a proven record of providing fun and dynamic lessons for primary aged learners. Emphasis on fun communication-based lessons with responsibilities including lesson planning, teaching and creating classroom displays.-
-
The position is for a minimum of 15 hours teaching time with mainly primary aged students but some higher levels a possibility.-
-
Experience preparing students for the Cambridge English examinations essential.-
-
Lugo is a small town (98,000) surrounded by the beautiful Galician countryside. Candidates must already have permission to work in the EU or a European passport.",1000â‚¬ after tax and all holidays during term tim,"","","Spain > Lugo, Galicia, Spain",The Greenwich Centre
780,EFL Teacher Required for Private English School,"We offer excellent and stable working conditions, a nine month renewable contract of up to 10 hours weekly, with a timetable from Monday to Friday evening. Applicants should be qualified in TEFL, experienced and passionate about teaching. They should also possess excellent spoken and written communication skills. Group ages and levels will be assigned according to the applicant´s profile. The School delivers an induction period starting Friday 24th September in order to assist new teachers in adapting to The Kent Institute culture.-
We offer:-
• Groups of 10/12 students maximum and 4 minimum, strictly classified according to age and level.-
• Courses taught: General English, most of them aiming at Cambridge Examinations.-
• Classroom materials and resource library for teachers;-
• Teacher support in lesson planning and classroom management;-
• Teacher support in Cambridge preparation;-
• Objectives clearly set at the beginning of each term.-
• Interactive boards and Wifi in all the classrooms;-
• Large air-conditioned classrooms with natural light;-
• Coffee corner",1400,"","",Spain > Valencia,The Kent Institute
781,"Teach Adults Oral English classes in Zhuhai, Guangdong - Work","Salary: 10000 CNY(RMB) to 16000 CNY(RMB) Monthly-
Housing: Not provided-
Contract type: Full time-
Work visa provided: Yes-
Teaching Students age: Training center (Adults)-
Work Location: Xiangzhou, Zhuhai-
Positions available: 3-
- Teaching experience-
- Degree in any field-
- British, American, Canadian, Australian, New Zealand, Irish or South African Passport holders",10000RMB - 16000RMB /month,"","",China > Zhuhai,Find Work Abroad
782,English Teacher,"Job Responsibility-
-
Teach all ESL classes to all levels (Teaching hours per month is between 60-80 hours)-
Deliver professional development to school staff and presentations to parents.-
Develop, organize and make continual improvements to the ESL curriculum.-
Coordinate with foreign and native teachers for better communication.-
Create schedules, acquire and manage foreign staff, and maintain records.-
Other tasks to be determined as needed.-
-
Work time;-
-
Rest on Monday and Tuesday-
13:00-20:30 Wednesday to Friday-
9:00-18:30 Saturday to Sunda",15000-25000RMB,"

-

-

-

","","China > Suzhou, Jiangsu",E-Blocks Education
783,Multiple Teaching Positions with 3000 USD per month!,"Various teaching positions in cities like: Beijing, Shanghai, Shenzhen, Chengdu, Hangzhou, etc..-
Teaching kids from 3 to 12 years old.-
No more than 40 working hours, 25 teaching hours per week.-
5 working days per week.-
Teaching positions in schools and English training centers.-
Refer to the link to know more: https://www.instagram.com/ryan_hunter66/-
-
As professional job hunters with over 10 years of experience, we have offers from different schools in different cities. Here are some benefits that you will get from us:-
-
Various teaching positions in cities like Beijing, Shanghai, Shenzhen, Guangzhou, Chengdu, Qingdao, etc..-
Salary from 3000 USD, pretax.-
Help with a negotiation about salary, housing or allowance, visa, tickets reimbursement, life support, etc..-
Help with changing jobs if you don't like your current job.-
Other life trouble support.-
We will always back you up when you meet problems in China.",2700-3500 dollars,"","","China > Shenzhen, Shanghai, Beijing, etc..",Ryan Hunter Agency
784,International School English Teacher,"International School English Teacher-
-
St. Alban's International School is a young, dynamic boarding school situated in the coastal city of Lianyungang at the start of the Eurasian Land Bridge.-
Our school is the city’s leading educational institute for STEM education and English Language learning. Our school has the only STEM Science Centre in the north of the Province, and we use Cambridge English, the world’s leading English language material, to ensure the highest standards are met.-
-
Our student body consists of K12 students, and our faculty have been selected from the best schools in the city We are looking for teachers to join us in our fast-growing school.-
-
In addition to teaching, there are opportunities to share your ideas and help develop our school in other areas of special interest.","20,000k CNY per month (negotiable)","

","We can offer you:-
A 12 Month employment contract-
20,000RMB monthly salary (Negotiable depending on experience)-
Flight allowance-
6 weeks (approx.) of vacation-
Medical Insurance-
E Bike-
Free accommodation-
Three free meals per day (on site)",China > Lianyungang,St. Alban's International School åœ£å¥¥æœ¬å›½é™…å­¦æ ¡
786,TEACH ENGLISH IN BEAUTIFUL CENTRAL MEXICO,"• 25 hours of teaching per week-
• Monday - Friday (NEVER weekends)-
• Monthly stipend-
• Housing (with host family or in teachers' house - all utilities paid)-
• Introductory Spanish workshop (3 hrs. / week)-
• Cultural activities-
• Fun, caring and supportive environment",5000 mxn,"","",Mexico > TEHUACAN,HELP! HESLINGTON LANGUAGE PROGRAM
787,Primary and Middle School in Guangzhou with High Salary Plus Good Benefits,"Location: Haizhu District, Guangzhou Introduction of the school: Adjacent to Sun Yat-sen University and Haizhu Wetland Ecological Park, the campus covers an area of 100 mu, with a building area of about 50,000 square meters. Haizhu District is the first education brand cooperation school directly under the provincial Department of Education, the first international bilingual teaching school, the first international curriculum system based on the national curriculum school. Job details: Start date: September 2021 Salary: 20,000 RMB to 27,000 RMB Hiring numbersï¼š4 ï¼ˆ2 for primary school, 2 for middle schoolï¼‰ Subject: English and team sports or creative art Other foreign teachers: yes Schedule: Monday to Friday, weekends off Class size: 25-30 students Holidays: All public holidays; weekends off, winter vacation Visa: work visa, work permit and residence permit Others: Airport support, up to 750 RMB Hotel reimbursements, All paid public holidays, Accident insurance, Job orientation and on-going training, Delicious Chinese food and amazing working experience, Career advancement opportunities.-
If you are interested in this position,please send e-mail to:-,or add my wechat:18913292228(Recruit_agent),or add my skype:gracesjyjy,or add my Whatsapp:-8615950036810","20,000 RMB to 27,000 RMB","","",China > Guangzhou,Suzhou Unique Human & Resource Service Co. Ltd.
788,Training Center in Beijing Hiring Teachers,"Position ESL-
Salary 20~30K-
Age Group 4-10-
Class size 8-12-
Work time Monday-Friday ŒWork 40 hours a week Œteaching 10 hours a week.@-
Vacation Public holiday pay-
Airfare 10000RMB allowance@-
Accommodation 3000RMB allowance@-
Workplace: Beijing-
Number of Vacancies Available:4",20-30k,"","",China > beijing,CUSHYJOB China
789,ESL TEACHER IN TRAINING CENTER !Teacher in UK can issue PU letter !,"Teaching opportunity in Wuhan-
Hudson English Training Center-
-
Dutiesï¼š-
1.English course for 3-8 years age students ï¼ˆKindergarten or primary school English teaching experience preferredï¼‰.-
2.Responsible for in-class management and educational administration.-
3.Have personal concepts for English teaching, ready to accept advanced educational concepts and methods.-
4.To treat parents and children with a sense of responsibility.-
5.To complete other tasks arranged by the teaching department.-
6. Experience with demo class and enrolment class is preferred.-
-
Working Time-
1.Totally 40 working hours/week-
2.22 teaching hours/week-
3.18 hours for office/week-
4.Monday and Tuesday are off days.",20-25k net,"","1.Base Salary: 25000 RMB/Monthï¼ˆAfter taxï¼‰.-
2.KPI salary: 2000 RMB/month depending on teaching performance-
3.Bonus system and Allowance system-
a. Demo classes make deal bonus: 200RMB/student-
b. Housing allowance: 2000 RMB/month",China > Wuhan,Hudson International Private School
790,ESL Teachers,"Requirements-
• Bachelor's degree or above-
• With ESL / AP / IB teaching experience or non-experienced welcome.-
• 120 Hour TEFL / CELTA / TESOL certification (preferred)-
• About 2 years of full-time English teaching or Tutoring experience (preferred).-
• AP/A-level/IB/GCSE courses teaching experience is best.",$3200/m,"","",China > Shanghai City,Dreamworks English
791,English Teacher Needed (in Guangzhou/Shenzhen/Foshan/Zhuhai /Foshan)," Working time: 40 hours, teaching time is less than 25 hours per week, 1 day off.-
- ESL English teaching with Chinese assistant.-
- Kids:aged from 3 to 12 years old.-
- Lesson plans prepared before class.-
- Location: Guangzhou, Foshan, Shenzhen, Zhejiang,other cities in China.",12000-25000RMB,"","",China > Guangzhou,Melhome
792,English Literature and Writing Teacher needed in Middle and High School in Tianhe,"Salary: 18000 CNY(RMB) to 22000 CNY(RMB) Monthly-
Housing: Free accommodation is provided-
Contract type: Full time-
Work visa provided: Yes-
Teaching Students age: High school-
Work Location: Tianhe, Guangzhou-
Positions available: 1-
- Teaching experience-
- Degree in any field-
- British, American, Canadian, Australian, New Zealand, South African, Irish or Passport holders",18000RMB - 22000RMB /month,"","",China > Guangzhou,Find Work Abroad
793,University English Teacher- Fuzhou,"University ESL Job Description:-
1.Location: Fuzhou city (coastal city), Fujian province, China.-
2.Contract Term: two academic years, Sep. 2021 - Aug. 2023 or starts as soon as work visa issued.-
3.Courses: English Speaking.-
4.Students Age: 18-22 years old.-
5.Work Days: work on Mondays to Fridays, two days off per week.-
6.Work Hours: 16 work hours per week, no office hours.-
-
Remuneration and Benefits:-
1.Salary: RMB18,000 to RMB20,000 monthly.-
2.Accommodation: independent apartment provided.-
3.Vacation: full paid two month vacations.-
4.Holidays: full paid 11 days Chinese public holidays.-
5.Airfare Allowance: RMB7,000 a year upon the contract fulfilment.-
6.Insurance: accident insurance and medical insurance provided.-
7.Work Visa: offer a working permit and invitation.-
-
Requirements:-
1.English native Speakers.-
2.Bachelor degree or above.-
3.Candidates currently in China or from overseas with a work visa.","18,000 - 20,000 CNY /Month","","",China > Fuzhou,Click China Job Recruiter
794,ESL Teacher,"At least BA degree-
• CELTA/TEFL or another teaching certificate-
• Must hold a UE passport or work permit in EU (we don't sponsor visa)-
- Experience in working with children and/or Cambridge exam preparation is a plus, however it's not necessary-
• Friendly, motivated and enthusiastic personality",1200,"","",Italy > Manfredonia,Morgan School Manfredonia
795,European Candidates Accepted! Teach English at a Training Center in Chancheng District,"Salary: 12000 CNY(RMB) to 18000 CNY(RMB) Monthly-
Housing: Not provided-
Contract type: Full time-
Work visa provided: Yes-
Teaching Students age: Training center (Children)-
Work Location: Foshan, Foshan-
Positions available: 1",12000RMB - 18000RMB /month,"","",China > Foshan,Find Work Abroad
796,English Teacher - China,"Discover, Teach and Inspire with Monkey Tree English Learning Center!-
-
Monkey Tree ELC currently have teaching opportunities throughout Mainland China. Teaching opportunities available in Shanghai, Changsha, Shenzhen, Guangzhou, Hangzhou, Huizhou, Dongguan and Guiyang.-
-
Monkey Tree ELC is looking for passionate and enthusiastic teachers to join the team. By incorporating play-based education into their tailor-made curriculum, their teaching philosophy is one of fun, energy and positive reinforcement. You will be teaching children aged between 2.5 -12 years old, as well as a variety of classes ranging from beginner phonics through to spelling and grammar.-
-
Salary and benefits:-
• Salary: RMB 15 000 – 20 000 per month (dependent on location)-
• Rewarding bonus upon contract completion-
• Assistance with obtaining a Z-visa (working permit and residence permit paid for)-
• Small class sizes (4-8 per class)-
• Fully prepared and tailored curriculum-
• Assistance in finding accommodation-
• Comprehensive training program-
-
Role and Responsibilities:-
• Teach a range of English classes such as phonics, reading comprehension, spelling, creative writing, and grammar.-
• Prepare and implement lessons, crafts, and activities-
• Administrative duties",15000 - 20000,"","",China > Guangzhou,Monkey Tree ELC
797,English Teaching Assistant,"3 Month Teaching Positions in Seville starting in late April 2021!-
-
English Teaching Assistant at CBS school.-
-
Brighton Third Sector Training Ltd. is offering Paid European Work Experience in Seville, Spain in April, 2021 as part of our Level 3 Teaching English to Speakers of other Languages (ELTAB).-
-
We offer 13-week (90 day), fully-funded English Teacher and Teacher Assisting internships based in different schools and academies in Seville.-
-
Positions are open to anyone looking to expand their skills and enhance their future employability.-
-
The programme is designed for those who have little or no experience teaching English but have recently completed a TEFL/CELTA or similar qualification. Please do not apply if you have lots of previous teaching experience. The placements are a great way to broaden future employment possibilities in academies in Seville.-
-
To be eligible applicants must be currently residing within the United Kingdom and must have the right to live and work in the UK and Spain.-
-
Participants will receive:-
Free accommodation including utilities (private bedroom in flatshare with other programme participants)-
Free outbound and return flights-
Travel insurance-
Weekly Spanish language classes-
€100 per week subsistence allowance (to cover food and local travel costs)-
Vocational course and certification (costs covered)",â‚¬100,"","",Spain > Seville,B3st
798,ESL Teacher Hiring In Shanghai (2 Vacancies),"Position ESL-
Salary 22~32K-
Age Group 1.5-6-
Work time Working hours/week: 40 hours.-
Workplace: Shanghai-
Number of Vacancies Available-
Class size 20 or so",22-32k,"","

-

-

-

",China > Shanghai,CUSHYJOB China
799,Native English Teacher,"Responsibilities:-
- to teach English to children aged 3 to 16 years old-
- to develop and prepare lesson plans & teaching materials for various age groups-
- to provide English tutoring (including Phonics, Grammar, Writing, Speaking, Reading, etc.)-
- to keep track of students' learning developments via regular participation and performance assessment to ensure their progress-
- to provide interview, application essay training to students looking to apply schools in HK or overseas-
- to advise and educate parents on admissions process-
- ad hoc projects assigned-
-
Requirements:-
- Native English speakers with strong verbal and written communication skills-
- Degree and/or teaching qualifications holder (TEFL, TESOL, CELTA Certificate, PGCE/PGDE in English or equivalent qualifications preferred)-
- at least 1 year of teaching experience, fresh graduates are welcome-
- study abroad experience preferred-
- Good communication skills with students and parents-
- Creative, enthusiastic, and compassionate teacher who enjoys working with children-
- Require to work at weekends or holidays-
- Able to work under pressure-
-
( Start date is flexible)","20,000-25,000 pm","","",Hong Kong > Hong Kong,ESS Education Group Limited
800,Position available for Online ESL Teacher,"Job Description:-
• We are looking for a native teacher from the US, Canada, England, Ireland, Australia, New Zealand, and South Africa to teach 1 on 1 classes, as well as group students of all ages ranging from 5 years to adults-
• Only weekday positions, no weekends-
• You will be teaching 20mins or 30mins or 40mins or 1hour class at a time-
• Working hours can be flexible between 2 pm-12 am (Korean Standard Time)-
• Fixed weekly schedule, usually class schedule is given each month-
• Minimum 6 months contract, 12months are preferred-
-
Who We are Looking For:-
• High-Energy, enthusiastic and passionate teachers who love kids and want to make a difference-
• Teachers who are ready and willing to try teaching in a virtual learning environment-
• People who are ready to have fun while working English speakers at a native level-
• TEFL/TESOL Certification, or willingness to obtain a certificate-
• Teaching experience preferred but it is not essential-
-
What We Do:-
• We handle scheduling your classes and assigning your students-
• We provide you with training and teacher support-
• We provide you a professional environment that allows you to focus on teaching-
• We provide you with the curriculum for each class – no lesson planning!-
• Student evaluation is only written monthly - not every lesson!-
• If qualifications are met, for teachers who are looking for teaching career development in the future and are interested in physically teaching in South Korea after the contract with us, we can assist with this-
-
More Information:-
• Payment is given based on the class you teach (20/30/40/60 mins)-
• Payments are $10 - 15(USD) depending on the experience and quality-
• If classes don't meet minimum class hours, compensated pay can be made-
• If class hours meet certain hours, we can also provide a monthly set salary-
• The training period is paid",Hourly,"","",South Korea > Seoun,English Hero
801,ESL Teacher,"Details of Position-
Roles and Responsibilities:-
Teaching the provided syllabus using ESL methods-
Participating in training workshops and meetings (once per 3 months)-
Regular communication with our office-
Participating in retention activities (Halloween, Christmas etc.)-
Participating in demo lessons (paid ones)-
Participating in video assessment lessons (paid ones)-
-
Qualifications-
Required/Desired Qualifications:-
Must be a native English speaker (we only consider teachers from the US, the UK, Ireland, Canada and Australia)-
In-classroom ESL experience with the young learners (3-6 years old) at least 1 year-
In-classroom ESL experience with the young learners (6-10 years old) at least 1 year-
CELTA, TESOL or equivalent TEFL Teaching Certificate-
BA degree-
Police Clearance Check-
Verifiable references-
-
Salary and Benefits-
Salary & Benefits:-
Competitive hourly rate based on experience and interview performance*-
Accommodation provided (separated bedroom in a shared appartment)-
Ongoing training in a group setting-
Visa support **-
-
* within probation period we offer 400-450 UAH per hour depends on the working performance of a candidate and guarantee 15 hours as a minimum of working hours per week. Possible to increase up to 25 working hours.-
-
** the candidate arrives to Ukraine on a tourist visa. After completing probation period we organize the process of getting temporary residence card.",16USD/hour,"","","Ukraine > Kyiv, Odessa, Lviv, Kharkiv, Dnipro",Apex Education
802,ESL English Teacher,"Requirements-
â—ŽNative English speakers-
â—ŽDegree: Bachelor or above.-
â—ŽCertificate: 120-hour TEFL/TESOL/CELTA or 2-year teaching experience recommendation letter.-
-
Salary&Benefit:-
1. In China: 25-30K-
2.Outside China: CNY 18-20K (house allowance included)-
â—ŽWinter/Summer Holiday Salary: CNY 8K-
â—ŽBenefit:-
1. Flight reimbursement: CNY 8K-
2. Level 1 governmental social insurance.-
3. Full coverage on quarantine hotel. (21-day mandatory quarantine)-
4. Legal working visa.-
5. Opportunities to move up for higher positions.-
6. Local service assistances-
-
Positions-
â—ŽKindergarten/Primary school/middle school in many different cities-
1. Age group: 3-16 years old.-
2. 8:00-12:00 and 14:00-17:00 on Monday to Friday-
3. Maximum 25 lesson and 30-45 minutes per lesson.-
4. Curriculum and books provided.","CNY 18,000-20,000","","",China > Shenzhen,SIE Education Co.
822,English Teacher in Spain,"We are offering two positions for the academic year 2021/2022. The job will involve teaching students of a range of ages, following a structure set by the academy, with unlimited guidance and monitoring. The teacher will be required to plan their own lessons, the majority of groups in conjunction with a textbook but others as stand-alone classes. The teacher will of course be fully supported, with access to materials, previous lesson plans and assistance and management on behalf of the director. This is a great opportunity for students willing to improve their Spanish as Tomelloso is a small city where they will find themselves in the position to really integrate into the local society and interact with a remarkably friendly community.",Negotiable,"","",Spain > Tomelloso,Bath City School of English
803,High School English Teacher,"Key Responsibilities:-
• Teaching using the provided lesson plans (may also be asked to develop such plans based on provided pacing charts as relevant and needed) for their subject(s) in order to be able to teach using the SABIS point system.-
• Marking of exams related to their subject matter in accordance with the schedule and material provided by the department.-
• Discussing disciplinary and student performance issues with the Academic Quality Controller (AQC) and head of the department (HOD) as needed.-
• Implementing the SABIS point system to ensure an environment conducive to learning in the classroom.-
• Providing support by invigilating exams as needed in an adequate and properly managed exam environment.-
• Providing support for the academically low-performing students, to help improve and get motivated to reach their potential.-
• Develop and/or follow external exam preparation by going through past papers as planned in the structured revision schedule (When applicable to specific grade).-
• Aiding in duties that may include testing children, substituting for absent teachers, organizing children for lunches and buses, controlling traffic (vehicles and people), and other administrative duties that may be assigned to him/her by the school SABIS management.-
• Preparing and participating in activity plans for all such student life-related events such as but not limited to art, open house, and physical education in coordination with the student life coordinator.-
• Attending training sessions when needed and as per the request of school management in order to enhance their understanding of the SABIS system improving their performance-
• Performing such other related tasks or projects as they arise and as delegated by the school SABIS management.",To be discussed with shortlisted candidates,"","",China > Shanghai,SABISÂ® ULINK International Academy of Shanghai
804,English Teacher for 3-12 Years," Working time: 40 hours, teaching time is less than 25 hours per week, 1 day off.-
- ESL English teaching with Chinese assistant.-
- Kids:aged from 3 to 12 years old.-
- Lesson plans prepared before class.-
- Location: Guangzhou, Foshan, Shenzhen, Zhejiang,other cities in China.",10000-18000,"","",China > Guangzhou,Melhome ESL Centre
805,ESL JOB IN CHINA,"Different from other recruiters, we are a registered company and have ability to get you a working visa and we sign the contract with the foreign teachers and we always do our utmost to assist the foreign teachers before they come & throughout the entire employment contract here in Beijing. We can also guarantee all the schools we have in Beijing are in good locations for foreigners. Besides all of these, we also provide competitive salary package and benefits you can choose. We will be very patient and direct you step by step and give you help through the whole time you are in China.-
We can give you 20000-30000 Yuan/month, which is about 4000 USD per month and we will provide you nice free accommodation and if you finish one year contract give you 6000 Yuan as airfare bonus.-
We do not have much requirement about the teachers. As long as you are a native English speaker and like teaching kids, its ok.-
Since our jobs are mostly teaching kids of 2-10 years old, so we prefer the teachers are outgoing and like kids.",25000,"","",China > BEIJING,TICK ENGLISH
806,Full Time Teacher Of English - East Asia ***For Talent Pool Only,"Pay Band: Teacher level-
-
Location: Any Country in East Asia (Singapore, Vietnam, Myanmar, Malaysia, Hong Kong, Japan, Korea, Thailand, Philippines, Indonesia, China)-
-
Department: English-
-
Contract type: Full Time-
-
Duration: 1 or 2 years Fixed Term (TBC)-
-
Important notice before you apply:-
-
Please note that currently, British Council has limited vacancies for Teachers.-
-
Any active vacancy will be shared on our recruitment website, however, we are encouraging teachers who are interested in working with us in East Asia, to apply to join our talent pool.-
-
As soon as we have an appropriate vacancy, we will inform suitable candidates who have joined.-
-
If you wish to join our talent pool, you will be asked to complete an application form, and if successful, a short video interview.-
-
In compliance with our policy of equal opportunities to people with disabilities, British Council can provide reasonable adjustments and can opt for a traditional pre-screening phone call if a video interview is not feasible.-
-
The talent pool is open to external and internal candidates.-
-
Role Purpose:-
-
Are you an enthusiastic and passionate Teacher who is looking for a dynamic teaching experience in East Asia?-
-
This is an excellent opportunity to join our talent pool and has the chance to take part in a friendly and vibrant educational environment whilst demonstrating a high level of professional and teaching skills.-
-
You can unleash your creativity to provide exciting, fun, and relevant learning experiences as well as having the chance to work with other outstanding teachers.-
-
If you are a Teacher specializing across Adults and/or Young Learners, take the chance to join our talent pool!-
-
Challenge and accountabilities:-
-
Support British Councils global English strategy by:-
Planning, preparing, and delivering high-quality English language teaching that meets the needs of different customer groups taking into account individual learning styles.-
Monitoring progress and provide regular feedback to help manage students' performance throughout the course, and actively promote learner autonomy.-
Contributing to the development, evaluation, and improvement of English language courses, materials, and related services.-
Ensuring teaching meets the standards expected in Teaching and Learning Reviews, the annual Academic Quality Plans, and organizational expectations.-
Using technology during lessons when required.-
Finishing administrative tasks in a timely and accurate manner.-
Contributing to the development of lasting, mutually beneficial relationships by enhancing students' understanding of the contemporary UK.-
Ensuring safeguarding and other guidelines are applied and upheld in line with internal standards-
-
Requirements:-
-
Qualifications-
Cambridge CELTA/Trinity CertTESOL or equivalent-
Undergraduate/University degree-
A minimum of 2 years post-certificate i.e. CELTA/Trinity cert TESOL experience gained from teaching a variety of age groups and levels from young learners through to adults.-
-
Teaching skills-
-
Proven experience and skills in:-
Classroom management-
Course and lesson planning-
Subject knowledge-
Understanding your learners-
Learning technologies-
-
Benefits:-
-
Your salary starting point will be set according to your qualifications and experience as well as your previous position on the British Council global salary scale (if applicable).",00000,"","",Malaysia > Kuala Lampur,British Council
807,Elementary English Teacher in Mexico,"Requirements-
-Native or fluent English speaker-
-Classroom experience-
-Outstanding personal and interpersonal communication skills-
-Excellent organizational skills-
-Sensitivity to the development stages and well-being of ELLs-
-Ability to incorporate current technology into the classroom environment-
-Ability to work with a diverse array of individuals-
-Mínimum 1 year commitment-
-Understanding of Microsoft Office (Word, Excel, Powerpoint) and GSuite (Mail, Calendar, Docs, Slides)-
-Cultural sensitivity and ability to adapt in foreign environments-
Pluses-
-Written or spoken Spanish skills-
-Experience teaching elementary-aged students (1st through 6th grade or 6 years old to 11 years old)-
-Experience with SEP, Cambridge SuperMinds CLIL, Reading A-Z, or Next Generation Science Standards-
-Experience with Google Classroom or other LMS-
Benefits-
-Monthly pay starting between 10,000 pesos and 16,000 negotiable based on experience-
-Paid training-
-Basic health care (IMSS)-
-Two weeks of paid summer vacation, two weeks of paid Christmas vacation, two weeks paid spring break for foreigners-
-Christmas and flight bonuses for foreigners-
-Financial support for higher education-
-Professional development support-
About Guadalajara/Zapopan-
- Erikson School is located in southwest Zapopan, Mexico.-
- Beautiful city, culturally rich, low cost of living for foreigners who work here, excellent gastronomy, large expat population, many things to get involved with around the city-
- Close proximity to beaches, main cities, and many other tourist attractions (Vallarta, Sayulita, Matzamitla, Guanajuato, San Miguel de Allende, Tlaquepaque, etc.)-
-
We are looking for dedicated and enthusiastic native English teachers to share their knowledge and love of teaching with our elementary students.","10,000-16,000 MXN/month","","",Mexico > Zapopan,Erikson School
